Zipcode,Income,Income per Capita,Population,Population White,Population Black,Population American Indian,Population Asian,Population Hawaiian,Population 2 or more Races,Population Hispanic,Education High School,Education GED,Education Associates,Education Bachelors,Education Masters,Education Professional,Education Doctorate,Age,Median Male Age,Median Female Age
01107,22956.0,13711.0,11474.0,6822.0,1507.0,156.0,41.0,0.0,345.0,8983.0,955.0,440.0,303.0,501.0,180.0,23.0,24.0,29.1,27.3,30.8
01108,36890.0,18466.0,28449.0,16866.0,5219.0,254.0,1365.0,33.0,1338.0,12525.0,3837.0,1228.0,1353.0,1553.0,1177.0,128.0,146.0,31.4,28.9,33.1
01109,35076.0,14977.0,30139.0,12657.0,11455.0,67.0,241.0,0.0,1573.0,11772.0,4678.0,977.0,1394.0,1421.0,555.0,178.0,49.0,27.4,24.0,31.6
01118,60295.0,27870.0,14293.0,10869.0,1961.0,87.0,542.0,0.0,451.0,2548.0,2620.0,301.0,1033.0,1921.0,936.0,103.0,94.0,38.6,37.0,40.2
01119,49083.0,22333.0,13091.0,8782.0,3090.0,25.0,192.0,0.0,287.0,3460.0,1816.0,460.0,797.0,1162.0,534.0,72.0,20.0,35.4,31.5,38.3
01128,70078.0,33845.0,2695.0,2037.0,446.0,13.0,13.0,0.0,164.0,289.0,492.0,80.0,226.0,357.0,153.0,18.0,40.0,47.6,48.8,46.8
01129,60776.0,27405.0,7220.0,5282.0,1331.0,8.0,100.0,0.0,277.0,1178.0,1264.0,194.0,581.0,784.0,486.0,56.0,37.0,41.5,37.7,43.4
01151,36541.0,16820.0,9295.0,5904.0,2130.0,0.0,158.0,8.0,478.0,3608.0,1626.0,292.0,564.0,563.0,205.0,21.0,11.0,32.0,31.0,32.5
01199,-666666666.0,-666666666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,-666666666.0
01201,45893.0,28433.0,45001.0,39647.0,2107.0,99.0,880.0,14.0,1412.0,2402.0,8748.0,1461.0,3696.0,5459.0,2560.0,633.0,249.0,43.4,40.6,45.1
01220,48422.0,27309.0,8266.0,8020.0,38.0,6.0,20.0,0.0,135.0,92.0,2203.0,233.0,491.0,903.0,393.0,37.0,39.0,45.1,40.8,47.2
01222,76944.0,41175.0,829.0,829.0,0.0,0.0,0.0,0.0,0.0,6.0,215.0,27.0,56.0,156.0,52.0,0.0,0.0,49.2,47.4,49.9
01223,72981.0,39324.0,2247.0,2156.0,30.0,4.0,5.0,0.0,30.0,51.0,550.0,78.0,174.0,305.0,228.0,46.0,35.0,52.2,52.8,50.8
01224,36324.0,23039.0,176.0,166.0,0.0,0.0,10.0,0.0,0.0,0.0,54.0,0.0,26.0,10.0,9.0,0.0,0.0,49.9,54.9,49.4
01225,58145.0,32108.0,3192.0,3183.0,0.0,0.0,0.0,0.0,9.0,66.0,803.0,122.0,264.0,295.0,162.0,0.0,10.0,49.0,48.6,49.4
01226,57202.0,32405.0,6885.0,6664.0,23.0,34.0,89.0,0.0,64.0,197.0,1161.0,236.0,578.0,1237.0,458.0,75.0,45.0,47.2,44.6,49.5
01229,27083.0,19587.0,102.0,94.0,0.0,0.0,0.0,0.0,8.0,8.0,26.0,0.0,0.0,18.0,0.0,0.0,5.0,62.8,68.1,47.8
01230,59702.0,35371.0,8195.0,7083.0,202.0,11.0,144.0,6.0,363.0,775.0,1479.0,196.0,430.0,1195.0,983.0,211.0,144.0,49.4,46.3,51.9
01235,60718.0,32438.0,2666.0,2582.0,20.0,7.0,3.0,0.0,44.0,19.0,746.0,34.0,197.0,367.0,164.0,29.0,26.0,47.6,47.8,47.2
01236,80385.0,32117.0,1422.0,1253.0,71.0,0.0,18.0,0.0,72.0,15.0,108.0,19.0,16.0,208.0,229.0,100.0,30.0,42.3,38.0,47.1
01237,83311.0,31664.0,2755.0,2657.0,66.0,0.0,2.0,0.0,25.0,18.0,605.0,24.0,255.0,429.0,210.0,34.0,34.0,43.3,43.1,44.0
01238,63109.0,35946.0,5950.0,5609.0,72.0,0.0,139.0,0.0,2.0,185.0,1222.0,63.0,290.0,868.0,474.0,167.0,62.0,48.7,48.8,48.2
01240,54250.0,48764.0,4592.0,4419.0,57.0,0.0,95.0,0.0,21.0,135.0,668.0,61.0,262.0,887.0,610.0,318.0,74.0,58.3,57.5,60.3
01242,56840.0,25313.0,429.0,428.0,0.0,0.0,0.0,0.0,1.0,0.0,42.0,43.0,31.0,94.0,31.0,0.0,0.0,32.0,35.8,30.6
01243,76250.0,46979.0,381.0,362.0,0.0,16.0,3.0,0.0,0.0,0.0,122.0,19.0,27.0,35.0,40.0,0.0,2.0,56.4,57.8,55.4
01244,-666666666.0,51809.0,82.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,34.0,11.0,0.0,3.0,60.3,43.2,60.9
