Zipcode,Income,Income per Capita,Population,Population White,Population Black,Population American Indian,Population Asian,Population Hawaiian,Population 2 or more Races,Population Hispanic,Education High School,Education GED,Education Associates,Education Bachelors,Education Masters,Education Professional,Education Doctorate,Age,Median Male Age,Median Female Age,Median House Construction/Year,Median Contract Rent,Median Gross Rent,Median Home Value,Median Monthly Owner Cost,Poverty,Poverty Male,Poverty Female,Family Poverty
33156,91353.0,61505.0,32114.0,28760.0,633.0,113.0,1654.0,0.0,267.0,15400.0,2317.0,234.0,1882.0,6377.0,2870.0,2513.0,1019.0,40.1,37.7,41.7,1973.0,1160.0,1272.0,646500.0,3497.0,2033.0,754.0,1279.0,318.0
33157,59768.0,24941.0,67553.0,45289.0,18210.0,23.0,1508.0,0.0,1198.0,29733.0,10581.0,1348.0,3755.0,7914.0,3196.0,996.0,796.0,37.7,35.1,40.3,1976.0,809.0,927.0,224800.0,1939.0,10146.0,4807.0,5339.0,1850.0
33158,135833.0,50248.0,6777.0,6147.0,166.0,0.0,199.0,35.0,230.0,2700.0,350.0,0.0,478.0,1622.0,685.0,428.0,143.0,43.3,40.0,44.5,1969.0,2001.0,2001.0,479900.0,2955.0,240.0,118.0,122.0,37.0
33160,45627.0,45536.0,37674.0,33154.0,2865.0,0.0,500.0,34.0,580.0,15342.0,5645.0,716.0,2171.0,7284.0,3808.0,1837.0,615.0,49.6,47.1,51.6,1978.0,1258.0,1332.0,217000.0,1831.0,5120.0,2103.0,3017.0,1024.0
33161,33056.0,15097.0,54036.0,14995.0,35044.0,70.0,668.0,0.0,962.0,12755.0,9202.0,925.0,2742.0,3771.0,1177.0,253.0,147.0,34.0,33.4,34.6,1960.0,835.0,941.0,178900.0,1645.0,15497.0,6991.0,8506.0,2939.0
33162,39191.0,15750.0,45773.0,18254.0,24941.0,62.0,1563.0,26.0,500.0,12855.0,9448.0,473.0,2423.0,3425.0,1167.0,213.0,236.0,33.3,32.2,34.9,1961.0,884.0,1010.0,151400.0,1560.0,10698.0,4388.0,6310.0,1879.0
33165,43344.0,19379.0,56275.0,53634.0,1429.0,45.0,190.0,0.0,556.0,51091.0,13569.0,747.0,3504.0,7086.0,1745.0,698.0,421.0,45.2,43.3,45.9,1964.0,1061.0,1201.0,232600.0,1789.0,9461.0,4408.0,5053.0,1834.0
33166,50180.0,23659.0,22899.0,20268.0,1497.0,20.0,491.0,0.0,233.0,15942.0,3991.0,419.0,2133.0,2569.0,1141.0,278.0,110.0,38.9,36.9,39.8,1961.0,954.0,1088.0,269400.0,2175.0,2562.0,916.0,1646.0,517.0
33167,36942.0,14501.0,19766.0,4116.0,13977.0,161.0,118.0,0.0,327.0,5341.0,3936.0,602.0,900.0,961.0,403.0,8.0,26.0,34.3,32.3,35.9,1961.0,771.0,893.0,119800.0,1385.0,4250.0,1817.0,2433.0,772.0
33168,42605.0,14510.0,27990.0,6967.0,18861.0,6.0,320.0,0.0,723.0,6946.0,4520.0,659.0,1306.0,1557.0,699.0,157.0,88.0,35.3,35.9,34.3,1956.0,858.0,997.0,135100.0,1516.0,5647.0,2205.0,3442.0,963.0
33169,42860.0,18831.0,38545.0,5712.0,31853.0,15.0,353.0,0.0,391.0,5221.0,8332.0,851.0,2139.0,2520.0,1018.0,183.0,150.0,33.3,30.7,35.8,1969.0,863.0,972.0,151600.0,1654.0,6274.0,3031.0,3243.0,1211.0
33170,43636.0,15981.0,12034.0,5811.0,5499.0,42.0,28.0,0.0,133.0,4902.0,2617.0,387.0,515.0,801.0,278.0,47.0,59.0,33.1,31.3,34.0,1987.0,960.0,1149.0,167500.0,1696.0,3484.0,1695.0,1789.0,571.0
