ZIP,latgym,longym,Gym,Address,UserRating
33092.0,na,na,Ballet Katia Pimenta,"26075 South Dixie Highway, Naranja",na
33092.0,na,na,Gimnasio South Pounte,"31720 Southwest 272nd Street, Naranja",na
33092.0,na,na,Jennifer,"27738 Southwest 133rd Avenue, Homestead",na
33092.0,na,na,Escultura Fit Club,"27869 South Dixie Highway, Naranja",na
33092.0,25.5323789,-80.3991826,BETTER HEALTH FAMILY NUTRITION,"12809 Southwest 252nd Street, Princeton",1
33092.0,25.5002962,-80.40374039999999,No Limit Fitness Club,"28715 Southwest 132nd Avenue suite 113, Homestead",2
33090.0,25.4712689,-80.47225449999999,Xpressit Dance Center,"253 Northeast 2nd Road, Homestead",13
33090.0,25.4643898,-80.4940661,Homestead Police Athletic,"600 SW 14th Ave, Homestead",2
33090.0,25.4783446,-80.4770168,"NutriClub, Herbalife Club","913 North Krome Avenue, Homestead",6
33090.0,25.4791818,-80.46699699999999,Om-stead Yoga Community,"916 North Flagler Avenue Unit A, Homestead",15
33090.0,25.4759342,-80.4644841,Homestead YMCA Family Center,"1034 Northeast 8th Street, Homestead",25
33090.0,25.4756702,-80.4610391,Elastic Gymnastics,"1034 Northeast 8th Street, Homestead",3
33090.0,25.47301119999999,-80.4930677,Homestead Full Contact Fitness,"395 Northwest 14th Avenue #5, Homestead",7
33090.0,25.473035,-80.47723649999999,Steelhouse Fitness Homestead,"325 North Krome Avenue, Homestead",12
33090.0,25.4773564,-80.4719815,Club Nutricional,"261 Northeast 8th Street, Homestead",1
33090.0,25.4708752,-80.47642309999999,BodyBy Nes,"120 Washington Avenue, Homestead",24
33090.0,25.4831849,-80.4778039,Club De Bienestar,"1328 North Krome Avenue, Homestead",3
33090.0,na,na,Get in Shape Dancing By Gilb,"19 South Krome Avenue, Homestead",na
33090.0,25.4694513,-80.4887833,Gladiator Wrestling,"40 Southwest 9th Avenue, Homestead",3
33090.0,na,na,Get Fit,Florida City,na
33090.0,na,na,International Wushu Kung Fu Center,"1678240000333, Florida City",na
33090.0,25.4546261,-80.48346,Youth Activity Center,"650 Northwest 5th Avenue, Florida City",9
33090.0,25.45253039999999,-80.4730467,Body shapers,Florida City,1
33039.0,na,na,Baby Power Forever Kids Homestead,"13473 Southwest 288th Street, Homestead",na
33039.0,25.5003056,-80.40142540000001,American Tactical Fitness,"16300 Southwest 137th Avenue #115, Miami",3
33039.0,25.5076655,-80.39665839999999,Empire Fitness Club,"27950 Southwest 127th Avenue, Homestead",14
33039.0,25.50081,-80.41312479999999,Workout Anytime Homestead,"28600 Southwest 137th Avenue, Homestead",80
33039.0,25.5002962,-80.40374039999999,No Limit Fitness Club,"28715 Southwest 132nd Avenue suite 113, Homestead",2
33039.0,na,na,Jennifer,"27738 Southwest 133rd Avenue, Homestead",na
33031.0,25.536516,-80.460471,Kriya Yoga Institute,"24757 Southwest 167th Avenue, Homestead",3
33032.0,25.5076655,-80.39665839999999,Empire Fitness Club,"27950 Southwest 127th Avenue, Homestead",14
33032.0,25.5323789,-80.3991826,BETTER HEALTH FAMILY NUTRITION,"12809 Southwest 252nd Street, Princeton",1
33033.0,na,na,Baby Power Forever Kids Homestead,"13473 Southwest 288th Street, Homestead",na
33033.0,25.479193,-80.439403,Planet Fitness,"2650 Northeast 10th Court, Homestead",216
33033.0,25.50081,-80.41312479999999,Workout Anytime Homestead,"28600 Southwest 137th Avenue, Homestead",80
33033.0,na,na,Casa,"2650 Northeast 10th Court, Homestead",na
33033.0,na,na,Escultura Fit Club,"27869 South Dixie Highway, Naranja",na
33033.0,25.4767996,-80.42749599999999,24 Hour Fitness,"3314 Northeast 7th Street, Homestead",18
33149.0,na,na,VeroYoga - Yoga Classes Key Biscayne,"10 Village Green Way, Key Biscayne",na
33149.0,25.6964967,-80.1642724,Pilates Center By Bernadette-Key Biscayne,"260 Crandon Boulevard # 36, Key Biscayne",2
33149.0,25.6980219,-80.1633262,RPM Indoor Cycling,"180 Crandon Boulevard #103, Key Biscayne",8
33149.0,25.697998,-80.163776,Mood LifeClub - Yoga & Fitness Key Biscayne,"180 Crandon Boulevard #112-113, Key Biscayne",5
33149.0,25.6954787,-80.1636455,KB Yoga,"328 Crandon Boulevard #208, Key Biscayne",1
33149.0,na,na,Inner Strength Studios,"604 Crandon Boulevard, Key Biscayne",na
33149.0,25.697724,-80.1635664,Miloki Flow,"200 Crandon Boulevard #103, Key Biscayne",6
33149.0,25.6969609,-80.15801019999999,Key Colony 1 The Tidemark,"201 Crandon Boulevard, Key Biscayne",2
