,,,North,0.021399901,,South,-0.021399901,,East,,0.023518703,West,,-0.023518703,NE,0.021399901,0.023518703,SW,-0.021399901,-0.023518703,SE,-0.021399901,0.023518703,NW,0.021399901,-0.023518703
zip,latit,longi,zip,latit,longi,zip,latit,longi,zip,latit,longi,zip,latit,longi,zip,latit,longi,zip,latit,longi,zip,latit,longi,zip,latit,longi
33255,25.7889689,-80.2264393,33255,25.8103688,-80.2264393,33255,25.767569,-80.2264393,33255,25.7889689,-80.2029206,33255,25.7889689,-80.249958,33255,25.8103688,-80.2029206,33255,25.767569,-80.249958,33255,25.767569,-80.2029206,33255,25.8103688,-80.249958
33256,25.6656979,-80.3240206,33256,25.6870978,-80.3240206,33256,25.644298,-80.3240206,33256,25.6656979,-80.3005019,33256,25.6656979,-80.3475393,33256,25.6870978,-80.3005019,33256,25.644298,-80.3475393,33256,25.644298,-80.3005019,33256,25.6870978,-80.3475393
33257,25.6037698,-80.3498123,33257,25.6251697,-80.3498123,33257,25.5823699,-80.3498123,33257,25.6037698,-80.3262936,33257,25.6037698,-80.373331,33257,25.6251697,-80.3262936,33257,25.5823699,-80.373331,33257,25.5823699,-80.3262936,33257,25.6251697,-80.373331
33261,25.87916,-80.19413,33261,25.9005599,-80.19413,33261,25.8577601,-80.19413,33261,25.87916,-80.1706113,33261,25.87916,-80.2176487,33261,25.9005599,-80.1706113,33261,25.8577601,-80.2176487,33261,25.8577601,-80.1706113,33261,25.9005599,-80.2176487
33265,25.73,-80.36,33265,25.7513999,-80.36,33265,25.7086001,-80.36,33265,25.73,-80.3364813,33265,25.73,-80.3835187,33265,25.7513999,-80.3364813,33265,25.7086001,-80.3835187,33265,25.7086001,-80.3364813,33265,25.7513999,-80.3835187
33266,25.8212225,-80.2833698,33266,25.8426224,-80.2833698,33266,25.7998226,-80.2833698,33266,25.8212225,-80.2598511,33266,25.8212225,-80.3068885,33266,25.8426224,-80.2598511,33266,25.7998226,-80.3068885,33266,25.7998226,-80.2598511,33266,25.8426224,-80.3068885
33269,25.9455627,-80.2053667,33269,25.9669626,-80.2053667,33269,25.9241628,-80.2053667,33269,25.9455627,-80.181848,33269,25.9455627,-80.2288854,33269,25.9669626,-80.181848,33269,25.9241628,-80.2288854,33269,25.9241628,-80.181848,33269,25.9669626,-80.2288854
33280,25.9502736,-80.1488255,33280,25.9716735,-80.1488255,33280,25.9288737,-80.1488255,33280,25.9502736,-80.1253068,33280,25.9502736,-80.1723442,33280,25.9716735,-80.1253068,33280,25.9288737,-80.1723442,33280,25.9288737,-80.1253068,33280,25.9716735,-80.1723442
33283,25.6906724,-80.3833699,33283,25.7120723,-80.3833699,33283,25.6692725,-80.3833699,33283,25.6906724,-80.3598512,33283,25.6906724,-80.4068886,33283,25.7120723,-80.3598512,33283,25.6692725,-80.4068886,33283,25.6692725,-80.3598512,33283,25.7120723,-80.4068886
33245,25.7506483,-80.2240177,33245,25.7720482,-80.2240177,33245,25.7292484,-80.2240177,33245,25.7506483,-80.200499,33245,25.7506483,-80.2475364,33245,25.7720482,-80.200499,33245,25.7292484,-80.2475364,33245,25.7292484,-80.200499,33245,25.7720482,-80.2475364
